customerEmail,transactionId,orderId,paymentMethodId,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,transactionAmount,transactionFailed,orderState,customerPhone,customerDevice,customerIPAddress,customerBillingAddress,No_Transactions,No_Orders,No_Payments,Fraud
rubenjuarez@yahoo.com,vx4cjc27,fbz9ep,pdxjdwui4,0,card,Voyager,34,0,fulfilled,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,False
rubenjuarez@yahoo.com,yiay9b0n,7odnn6,pdxjdwui4,0,card,Voyager,26,0,fulfilled,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,False
rubenjuarez@yahoo.com,sn3v0ql2,audx7o,pdxjdwui4,0,card,Voyager,25,0,fulfilled,670.664.8168x94985,slovx60t0i558may4ks0,95de:8565:5a66:792c:26e0:6cfb:7d87:11af,"7769 Elizabeth Bridge Apt. 343
Nortonstad, FM 51359",3,3,1,False
uchen@malone.com,q8j3dgni,56h7iw,olr4zf09x,0,card,VISA 13 digit,71,0,fulfilled,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
uchen@malone.com,xjulqy8x,kowj1v,gehl28i8u,0,card,JCB 16 digit,66,1,fulfilled,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
uchen@malone.com,rvm65vr1,wlznfu,gehl28i8u,0,card,JCB 16 digit,69,0,failed,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
uchen@malone.com,kckrvagp,hm3rth,76bw9eqg2,0,apple pay,VISA 16 digit,46,1,fulfilled,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
uchen@malone.com,2slep8t9,vvq05w,s6escw45g,0,card,JCB 16 digit,68,0,fulfilled,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
uchen@malone.com,yd80pfko,xwo0al,76bw9eqg2,0,apple pay,VISA 16 digit,59,0,fulfilled,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
uchen@malone.com,ckk3ux58,2528x8,w1i1zq3rg,0,apple pay,American Express,32,0,fulfilled,1-981-877-0870,j0pd24k5h8dl2fqu0cz4,196.89.235.192,"148 Russell Lodge Apt. 445
Port Jenniferside, TN 60556-0871",7,7,6,True
robinsoncynthia@dunn.com,67qcpl0r,vq7j5b,n5fj5bc0e,0,card,VISA 16 digit,25,0,pending,+65(5)8997489788,hbww39m1wenbq4ymjhsx,43.166.163.164,"65233 Hutchinson Mountains
Martinezside, OR 75588",1,1,2,True
samuel15@saunders-rhodes.com,9jutaun8,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,1,fulfilled,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",2,1,2,True
samuel15@saunders-rhodes.com,lla8uo92,sq7rk9,je76d0ulj,0,apple pay,VISA 13 digit,40,0,fulfilled,05045239487,up7afvce5v0omniqlevq,33.67.35.30,"3960 Emily Fort
Staceytown, AR 21817-3325",2,1,2,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True
johnlowery@gmail.com,300mewnx,kanub7,8xex97krx,0,card,VISA 16 digit,65,0,fulfilled,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True
johnlowery@gmail.com,cfoevtai,kanub7,yxsf33ipw,0,bitcoin,Voyager,65,1,fulfilled,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True
johnlowery@gmail.com,kg0emdbe,605pbl,yxsf33ipw,0,bitcoin,Voyager,36,0,failed,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True
johnlowery@gmail.com,crwqqfpi,7fs5td,yxsf33ipw,0,bitcoin,Voyager,68,0,fulfilled,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True
johnlowery@gmail.com,u2xbyl92,ccuh4k,8xex97krx,0,card,VISA 16 digit,74,1,fulfilled,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,044-642-9860,rjb0adai34izqvys4938,212.144.68.190,"484 Pamela Pass
Lake Jessicaview, WI 12942-9074",6,5,2,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,737-377-9701x577,jz66ap43id2y35ivfqa5,6c21:ac1d:2089:68fa:abb7:8c00:525f:6588,"08238 Kyle Squares Suite 893
Millermouth, IN 27535-5397",0,0,1,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,+16(4)9016414340,cdx178qymd6vy77nm4x3,222.79.159.140,"77711 Pamela Ridge
New Kayla, IL 27182",3,2,1,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,04712252182,311kdz4c1210iixltk2j,42b3:df19:86fe:abd9:dafe:f6c1:eb76:c72,"11704 Andrew Villages Apt. 035
Jamesfurt, OR 49817-0470",7,5,1,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,1-820-539-4726x993,2in0fh7lep289n8dcbdz,163.128.139.42,"814 Wagner Union
Ashleymouth, HI 35617",2,2,1,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,1-143-059-1833,tyijaify2hqadwslejyr,e4c:fb48:8ee2:9819:6ae8:8d3f:3b6a:a788,"518 Wood Mews Apt. 970
Dillonstad, NE 43317-3945",0,0,0,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,076-099-0630x72770,6qy6oa3nqutsyyxzc54c,f259:657f:f329:2fca:c06c:8b57:d6ac:2380,"687 Rogers Bridge Suite 780
Valdezburgh, IN 23532",6,5,3,True
johnlowery@gmail.com,c5w6btep,lajvhn,8xex97krx,0,card,VISA 16 digit,55,0,fulfilled,635.676.0955x524,969zz9zdj8z4gns4sx5p,f82c:811f:8a02:e2d6:79b:fcaa:42de:570b,"548 Bryant Inlet
Veronicaside, OK 00522",4,4,2,True
jameslandry@rodriguez.com,idd9amrw,mtg9kj,yk3gx9knx,0,card,Discover,25,0,fulfilled,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False
jameslandry@rodriguez.com,2ta3i8e2,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False
jameslandry@rodriguez.com,8pssnrcy,1b71xd,yk3gx9knx,0,card,Discover,21,0,pending,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False
jameslandry@rodriguez.com,ksmxqqg3,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False
jameslandry@rodriguez.com,sihnojhc,1b71xd,yk3gx9knx,0,card,Discover,21,1,pending,1-885-168-1310x338,yz4l2bgbvzra5eb5qcan,c899:ff67:6864:4365:def3:3023:655f:5181,"USNS Price
FPO AE 14661",5,2,1,False
bowenwilliam@yahoo.com,fkxbbt2y,a0dh26,4nt3vg6nr,0,card,Discover,40,0,fulfilled,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True
bowenwilliam@yahoo.com,i2xemksa,a0dh26,4nt3vg6nr,0,card,Discover,40,1,fulfilled,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True
bowenwilliam@yahoo.com,ud4zmsnq,izik2o,4nt3vg6nr,0,card,Discover,18,0,pending,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True
bowenwilliam@yahoo.com,wnlc7kcq,2sumqh,4nt3vg6nr,0,card,Discover,46,0,failed,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True
bowenwilliam@yahoo.com,uqgebkxo,kcmymd,4nt3vg6nr,0,card,Discover,12,0,fulfilled,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True
bowenwilliam@yahoo.com,9u7gmxy2,mocbj3,4nt3vg6nr,0,card,Discover,11,1,fulfilled,(128)248-4091x37789,qmntgod0numz62gzbla7,231.91.253.19,"27061 Wright Forks
Craigland, MN 59915",6,5,1,True
ksummers@hotmail.com,46ijodjq,ji75jj,14t4urgqg,0,card,Discover,12,0,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
ksummers@hotmail.com,xo1gdp22,5lyh0x,anpl44kz2,0,card,American Express,30,0,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
ksummers@hotmail.com,33jfoo59,ha14ey,14t4urgqg,0,card,Discover,49,1,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
ksummers@hotmail.com,i8bk4lna,ha14ey,ahnb9wv33,0,card,VISA 13 digit,49,0,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
ksummers@hotmail.com,7p73brx2,ni3keo,ahnb9wv33,0,card,VISA 13 digit,45,1,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
ksummers@hotmail.com,i8zlhilq,vvo42o,12sooz8hm,0,bitcoin,Maestro,28,0,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
ksummers@hotmail.com,zwl18ddd,vvo42o,ahnb9wv33,0,card,VISA 13 digit,28,1,fulfilled,1-023-275-4692,2ngkzu1idwxintmxwmgn,184.97.57.11,"46383 Matthew Track Apt. 220
Romanburgh, DC 95125",7,5,4,False
christineklein@wright-boyd.org,fgobyd98,abc26t,9pfrhknoz,0,bitcoin,VISA 16 digit,10,0,fulfilled,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False
christineklein@wright-boyd.org,c4fephmj,bdzhkd,ow9u8ogs4,0,card,VISA 16 digit,45,0,pending,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False
christineklein@wright-boyd.org,07hkhmmf,l8smyt,ow9u8ogs4,0,card,VISA 16 digit,46,0,fulfilled,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False
christineklein@wright-boyd.org,jz6qu6zy,0esxhp,ow9u8ogs4,0,card,VISA 16 digit,16,0,fulfilled,897-464-6425x941,j8cp1uydkuyza2eo0mir,4304:521a:e1c3:766b:21f3:ac3:4ab2:5a2,"67636 Renee Islands Suite 307
Teresaview, ND 09042",4,4,3,False
meganwalters@chavez.com,bhil44kr,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,1,fulfilled,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False
meganwalters@chavez.com,nw0a0y9s,ooxrwm,o2ct2h9fp,0,card,Mastercard,43,0,fulfilled,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False
meganwalters@chavez.com,enl54gvp,2p3zor,o2ct2h9fp,0,card,Mastercard,34,1,fulfilled,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False
meganwalters@chavez.com,hkcfpxan,2p3zor,o2ct2h9fp,0,card,Mastercard,34,0,fulfilled,(522)133-8741x643,qsxqbn6qjxkni7f813qn,98.229.160.246,"7541 Olson Glens
Ballshire, IL 29415",4,2,1,False
caleb94@sutton.info,n7vnyysr,49zp0m,5a44rykx3,0,card,VISA 16 digit,19,0,failed,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False
caleb94@sutton.info,mx7hay87,eqpu3r,5a44rykx3,0,card,VISA 16 digit,46,0,fulfilled,07452086668,lixwrlvcr4g5ht600dk9,2efe:240f:cc33:306:8e47:b8d5:b466:f12a,"813 Miller Lakes
Lake Christina, SD 29778-1298",5,5,2,False
